epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.6675,3.72256,18.0542,0.00201,0,0,0,0,2.65156,14.9277,0.00203,0.000544981,0.000544981,0.000544981
2,38.5851,3.05002,12.0851,0.00153,0.96442,0.27528,0.43592,0.22687,2.52231,8.66771,0.00194,0.0010952,0.0010952,0.0010952
3,58.4594,2.9457,10.1381,0.00148,0.91147,0.42088,0.48807,0.25605,2.53798,5.74129,0.00195,0.00163992,0.00163992,0.00163992
4,80.0232,3.07178,8.95682,0.00151,0.90027,0.42463,0.57199,0.28632,2.53505,5.29844,0.00195,0.00164225,0.00164225,0.00164225
5,95.8765,2.9511,7.91785,0.00141,0.68054,0.61691,0.64688,0.31281,2.57088,4.70645,0.00197,0.00163399,0.00163399,0.00163399
6,113.917,2.87751,7.38792,0.0014,0.83152,0.58751,0.66554,0.32796,2.47936,4.08037,0.00189,0.00162574,0.00162574,0.00162574
7,129.292,2.87816,6.70195,0.00141,0.76974,0.65346,0.6773,0.31572,2.6432,3.55872,0.00205,0.00161749,0.00161749,0.00161749
8,142.268,2.85732,6.14491,0.00137,0.77818,0.66746,0.68331,0.3268,2.59409,3.19524,0.00201,0.00160924,0.00160924,0.00160924
9,155.639,2.8145,5.83088,0.00139,0.76836,0.65384,0.6609,0.33661,2.46197,3.22021,0.00191,0.00160099,0.00160099,0.00160099
10,169.43,2.8288,5.38926,0.00141,0.80434,0.63567,0.69043,0.35864,2.45256,3.16548,0.0019,0.00159274,0.00159274,0.00159274
11,182.659,2.78912,4.96695,0.00134,0.79614,0.66164,0.69926,0.34786,2.51032,3.18748,0.00193,0.00158448,0.00158448,0.00158448
12,196.436,2.80678,4.56823,0.00133,0.80933,0.68735,0.72324,0.36236,2.42752,2.97441,0.00186,0.00157623,0.00157623,0.00157623
13,210.589,2.75934,4.4533,0.00138,0.78133,0.68789,0.70803,0.35473,2.45585,2.93552,0.00189,0.00156798,0.00156798,0.00156798
14,223.635,2.77823,4.18046,0.00134,0.80893,0.67861,0.707,0.35137,2.45492,2.89979,0.00189,0.00155973,0.00155973,0.00155973
15,236.361,2.69787,4.03444,0.00135,0.78356,0.73755,0.76104,0.36744,2.61256,2.8242,0.00203,0.00155148,0.00155148,0.00155148
16,249.594,2.76832,3.76421,0.00132,0.82248,0.73481,0.73766,0.37775,2.47255,2.73286,0.00191,0.00154323,0.00154323,0.00154323
17,263.144,2.72265,3.58063,0.00133,0.78899,0.72642,0.73501,0.3652,2.53051,2.65171,0.00194,0.00153497,0.00153497,0.00153497
18,276.592,2.67616,3.48453,0.00133,0.83311,0.70895,0.74053,0.36725,2.56292,2.59162,0.00202,0.00152672,0.00152672,0.00152672
19,290.338,2.72859,3.44348,0.00131,0.82358,0.71863,0.76022,0.38746,2.45467,2.62146,0.00188,0.00151847,0.00151847,0.00151847
20,303.362,2.6901,3.35133,0.0013,0.84525,0.72444,0.75756,0.37871,2.461,2.53434,0.00188,0.00151022,0.00151022,0.00151022
21,316.011,2.72366,3.32056,0.00133,0.79677,0.72719,0.75394,0.39219,2.44376,2.52408,0.00189,0.00150197,0.00150197,0.00150197
22,329.719,2.66054,3.29427,0.0013,0.84783,0.71871,0.76044,0.38192,2.52397,2.56245,0.00194,0.00149372,0.00149372,0.00149372
23,343.455,2.68659,3.1219,0.00129,0.81551,0.74014,0.73762,0.37433,2.49757,2.62731,0.00193,0.00148546,0.00148546,0.00148546
24,357.23,2.70159,3.04695,0.00131,0.85444,0.73989,0.77939,0.39899,2.44251,2.45131,0.00187,0.00147721,0.00147721,0.00147721
25,370.673,2.7327,3.10388,0.00134,0.82128,0.74596,0.75852,0.37695,2.53296,2.47891,0.00196,0.00146896,0.00146896,0.00146896
26,383.799,2.71739,3.06587,0.00128,0.78013,0.7526,0.76117,0.37673,2.47222,2.53302,0.00189,0.00146071,0.00146071,0.00146071
27,396.921,2.64576,2.89157,0.00131,0.8381,0.73621,0.78897,0.38562,2.49113,2.4626,0.00189,0.00145246,0.00145246,0.00145246
28,410.222,2.71061,3.006,0.00129,0.86143,0.72906,0.79914,0.4045,2.46363,2.38517,0.00188,0.00144421,0.00144421,0.00144421
29,423.396,2.66789,2.89631,0.00129,0.86383,0.731,0.80685,0.40566,2.47141,2.32335,0.00191,0.00143595,0.00143595,0.00143595
30,436.179,2.66087,2.90905,0.0013,0.79213,0.7671,0.76645,0.38716,2.44704,2.4549,0.00187,0.0014277,0.0014277,0.0014277
31,449.069,2.6562,2.90384,0.00127,0.84245,0.74659,0.80001,0.40934,2.44329,2.38957,0.00188,0.00141945,0.00141945,0.00141945
32,462.383,2.61998,2.84816,0.00124,0.85133,0.77405,0.81089,0.40691,2.47329,2.35625,0.0019,0.0014112,0.0014112,0.0014112
33,476.399,2.65248,2.75036,0.00125,0.84877,0.78727,0.82357,0.41171,2.44147,2.26607,0.00187,0.00140295,0.00140295,0.00140295
34,490.289,2.60793,2.76408,0.00124,0.85095,0.78662,0.82835,0.40298,2.41673,2.39459,0.00185,0.0013947,0.0013947,0.0013947
